Unit:(mV)
                     CH1         CH2
Frequency              ?   1.286 kHz
Period                 ?  777.605 us
00001             360.00      -16.00
00002             280.00      -16.00
00003             200.00      -16.00
00004             200.00      -16.00
00005             120.00      -12.00
00006              40.00      -16.00
00007             -80.00       -8.00
00008             -40.00      -16.00
00009            -200.00      -20.00
00010            -200.00      -16.00
00011            -640.00      500.00
00012            -520.00      500.00
00013            -360.00      -36.00
00014            -280.00      -40.00
00015            -160.00      -32.00
00016             -40.00      -32.00
00017             120.00      -40.00
00018             200.00      -32.00
00019             320.00      -36.00
00020             400.00      -28.00
00021             560.00      -32.00
00022             640.00      -32.00
00023             760.00      -36.00
00024             800.00      -28.00
00025             880.00      -32.00
00026            1000.00      -28.00
00027            1080.00      -36.00
00028            1200.00      -32.00
00029            1280.00      -32.00
00030            1320.00      -28.00
00031            1400.00      -32.00
00032            1480.00      -28.00
00033            1520.00      -32.00
00034            1600.00      -28.00
00035            1640.00      -28.00
00036            1720.00      -32.00
00037            1720.00      -28.00
00038            1760.00      -32.00
00039            1760.00      -20.00
00040            1760.00      -28.00
00041            1800.00      -20.00
00042            1760.00      -24.00
00043            1800.00      -32.00
00044            1800.00      -28.00
00045            1760.00      -28.00
00046            1760.00      -28.00
00047            1720.00      -28.00
00048            1720.00      -28.00
00049            1720.00      -28.00
00050            1680.00      -24.00
00051            1640.00      -20.00
00052            1560.00      -28.00
00053            1560.00      -24.00
00054            1520.00      -24.00
00055            1480.00      -28.00
00056            1480.00      -24.00
00057            1440.00      -28.00
00058            1400.00      -16.00
00059            1360.00      -24.00
00060            1360.00      -24.00
00061            1320.00      -20.00
00062            1280.00      -20.00
00063            1240.00      -24.00
00064            1200.00      -20.00
00065            1160.00      -20.00
00066            1080.00      -20.00
00067            1040.00      -20.00
00068            1000.00      -20.00
00069            1000.00      -12.00
00070             960.00      -20.00
00071             880.00      -24.00
00072             920.00      -20.00
00073             920.00      -20.00
00074            1000.00      -28.00
00075             960.00      -24.00
00076            1000.00      -24.00
00077            1000.00      -20.00
00078            1000.00      -20.00
00079            1080.00      -20.00
00080            1080.00      -24.00
00081            1040.00      -20.00
00082            1120.00      -28.00
00083            1080.00      -16.00
00084            1040.00      -20.00
00085            1000.00      -24.00
00086             960.00      -20.00
00087             920.00      -16.00
00088             880.00      -20.00
00089             800.00      -20.00
00090             760.00      -20.00
00091             720.00      -24.00
00092             680.00      -16.00
00093             560.00      -16.00
00094             520.00      -28.00
00095             480.00      -20.00
00096             400.00      -24.00
00097             320.00      -20.00
00098             240.00      -20.00
00099             200.00      -16.00
00100             120.00      -24.00
00101              80.00      -20.00
00102               0.00      -16.00
00103             -40.00      -20.00
00104            -240.00      -16.00
00105            -360.00      -24.00
00106            -480.00      -20.00
00107            -640.00      -20.00
00108            -760.00      -20.00
00109            -920.00      -20.00
00110           -1040.00      -20.00
00111           -1200.00      -16.00
00112           -1320.00      -20.00
00113           -1480.00      -16.00
