Unit:(mV)
                     CH1         CH2
Frequency              ?  999.988 Hz
Period                 ?    1.000 ms
00001             720.00        0.00
00002             720.00      -20.00
00003             700.00        0.00
00004             720.00        0.00
00005             700.00       20.00
00006             720.00      -20.00
00007             720.00      -20.00
00008             700.00      -20.00
00009             720.00        0.00
00010             720.00      -20.00
00011             720.00     1940.00
00012             240.00     1980.00
00013             240.00     1980.00
00014             240.00     1980.00
00015             320.00     1960.00
00016             280.00     1980.00
00017             320.00     1960.00
00018             260.00     1960.00
00019             340.00     1960.00
00020             340.00     1940.00
00021             320.00     1980.00
00022             360.00     1960.00
00023             340.00     1960.00
00024             320.00      -20.00
00025             300.00      -20.00
00026             360.00      -20.00
00027             300.00        0.00
00028             380.00      -20.00
00029             400.00      -20.00
00030             340.00      -20.00
00031             360.00      -20.00
00032             340.00        0.00
00033             380.00      -20.00
00034             420.00      -20.00
00035             360.00        0.00
00036             380.00      -20.00
00037             380.00      -20.00
00038             440.00      -20.00
00039             400.00      -20.00
00040             360.00        0.00
00041             340.00      -40.00
00042             420.00        0.00
00043             420.00      -20.00
00044             440.00      -20.00
00045             420.00      -40.00
00046             420.00      -20.00
00047             400.00      -20.00
00048             440.00      -20.00
00049             460.00      -20.00
00050             460.00      -20.00
00051             460.00      -20.00
00052             460.00      -20.00
00053             480.00      -20.00
00054             440.00      -20.00
00055             420.00      -20.00
00056             500.00      -20.00
00057             460.00      -20.00
00058             440.00      -20.00
00059             500.00      -20.00
00060             500.00      -20.00
00061             500.00        0.00
00062             500.00        0.00
00063             500.00        0.00
00064             480.00      -20.00
00065             520.00      -20.00
00066             500.00        0.00
00067             500.00      -20.00
00068             560.00        0.00
00069             520.00      -20.00
00070             540.00      -20.00
00071             520.00      -20.00
00072             560.00        0.00
00073             540.00      -20.00
00074             560.00      -20.00
00075             560.00      -20.00
00076             500.00      -40.00
00077             600.00        0.00
00078             580.00      -20.00
00079             540.00      -20.00
00080             560.00      -20.00
00081             580.00        0.00
00082             560.00      -20.00
00083             580.00      -20.00
00084             560.00      -20.00
00085             600.00      -20.00
00086             600.00        0.00
00087             640.00      -20.00
00088             620.00        0.00
00089             620.00      -20.00
00090             600.00        0.00
00091             620.00      -20.00
00092             640.00        0.00
00093             640.00      -20.00
00094             600.00        0.00
00095             620.00      -20.00
00096             600.00        0.00
00097             620.00        0.00
00098             660.00        0.00
00099             660.00        0.00
00100             640.00      -20.00
00101             660.00        0.00
00102             640.00        0.00
00103             620.00        0.00
00104             640.00        0.00
00105             620.00        0.00
00106             660.00      -20.00
00107             660.00      -20.00
00108             640.00      -20.00
00109             660.00      -20.00
00110             640.00      -20.00
00111             660.00      -20.00
00112             680.00        0.00
00113             680.00      -20.00
00114             660.00      -20.00
00115             700.00        0.00
00116             660.00        0.00
00117             640.00      -20.00
00118             660.00      -20.00
00119             680.00        0.00
00120             660.00      -20.00
00121             660.00        0.00
00122             660.00      -20.00
00123             720.00        0.00
00124             680.00      -20.00
00125             720.00      -20.00
00126             680.00      -20.00
00127             660.00      -20.00
00128             680.00        0.00
00129             680.00      -20.00
00130             660.00        0.00
00131             680.00      -20.00
00132             700.00        0.00
00133             720.00      -20.00
00134             700.00      -20.00
00135             700.00        0.00
00136             740.00        0.00
00137             720.00      -20.00
00138             680.00        0.00
00139             720.00        0.00
00140             700.00      -20.00
00141             740.00      -20.00
00142             740.00        0.00
00143             700.00      -20.00
00144             740.00      -20.00
00145             720.00      -20.00
00146             680.00      -20.00
00147             720.00      -20.00
00148             740.00      -20.00
00149             740.00        0.00
00150             700.00      -20.00
00151             700.00        0.00
00152             760.00      -20.00
00153             720.00      -20.00
00154             740.00      -20.00
00155             680.00        0.00
00156             740.00        0.00
00157             760.00        0.00
00158             740.00      -20.00
00159             740.00        0.00
00160             760.00      -20.00
00161             700.00      -20.00
00162             720.00        0.00
00163             740.00      -20.00
00164             720.00       20.00
00165             680.00      -20.00
00166             740.00      -20.00
00167             740.00      -20.00
00168             740.00      -20.00
00169             760.00      -20.00
00170             740.00        0.00
00171             680.00      -20.00
00172             760.00        0.00
00173             720.00        0.00
00174             760.00        0.00
00175             700.00        0.00
00176             720.00      -20.00
00177             720.00      -20.00
00178             740.00        0.00
00179             720.00      -20.00
00180             700.00        0.00
00181             720.00        0.00
00182             760.00      -20.00
00183             720.00      -20.00
00184             720.00      -20.00
00185             760.00        0.00
00186             720.00      -20.00
00187             720.00        0.00
00188             700.00      -20.00
00189             740.00       20.00
00190             760.00        0.00
00191             720.00        0.00
00192             720.00        0.00
00193             720.00        0.00
00194             760.00      -20.00
00195             700.00      -20.00
00196             660.00        0.00
00197             700.00       20.00
00198             680.00      -20.00
00199             720.00        0.00
00200             720.00        0.00
00201             740.00        0.00
00202             700.00        0.00
00203             740.00        0.00
00204             740.00      -20.00
00205             680.00        0.00
00206             700.00        0.00
00207             700.00      -20.00
00208             700.00      -20.00
00209             680.00      -20.00
00210             700.00        0.00
00211             740.00      -20.00
00212             700.00       20.00
00213             720.00      -20.00
00214             740.00       20.00
00215             700.00      -20.00
00216             660.00        0.00
00217             680.00        0.00
00218             660.00      -20.00
00219             720.00        0.00
00220             720.00        0.00
00221             660.00       20.00
00222             740.00      -20.00
00223             680.00        0.00
00224             700.00        0.00
00225             720.00        0.00
00226             720.00      -20.00
00227             700.00        0.00
00228             720.00      -20.00
00229             700.00        0.00
00230             660.00      -20.00
00231             720.00        0.00
00232             640.00        0.00
00233             720.00        0.00
00234             700.00        0.00
00235             620.00        0.00
00236             640.00        0.00
00237             640.00        0.00
00238             660.00        0.00
00239             680.00        0.00
00240             680.00      -20.00
00241             680.00       20.00
00242             680.00      -20.00
00243             680.00        0.00
00244             640.00      -20.00
00245             600.00        0.00
00246             600.00      -20.00
00247             620.00        0.00
00248             600.00        0.00
00249             680.00      -20.00
00250             660.00        0.00
00251             680.00        0.00
00252             620.00        0.00
00253             660.00      -20.00
00254             640.00        0.00
00255             580.00        0.00
00256             640.00        0.00
00257             600.00        0.00
00258             660.00      -20.00
00259             660.00        0.00
00260             580.00      -20.00
00261             660.00        0.00
00262             600.00        0.00
00263             660.00        0.00
00264             660.00      -20.00
00265             640.00        0.00
00266             620.00        0.00
00267             640.00        0.00
00268             640.00        0.00
00269             560.00      -20.00
00270             620.00        0.00
00271             560.00        0.00
00272             640.00        0.00
00273             600.00      -20.00
00274             520.00      -20.00
00275             600.00        0.00
00276             520.00        0.00
00277             580.00        0.00
00278             580.00        0.00
00279             600.00      -20.00
00280             560.00        0.00
00281             600.00       20.00
00282             540.00      -20.00
00283             500.00        0.00
00284             520.00      -20.00
00285             540.00        0.00
00286             540.00        0.00
00287             500.00        0.00
00288             500.00      -20.00
00289             580.00        0.00
00290             520.00      -20.00
00291             580.00        0.00
00292             500.00      -20.00
00293             520.00        0.00
00294             500.00        0.00
00295             540.00        0.00
00296             480.00      -20.00
00297             520.00        0.00
00298             480.00      -20.00
00299             520.00        0.00
00300             500.00      -20.00
00301             540.00       20.00
00302             520.00        0.00
