Unit:(mV)
                     CH1         CH2
Frequency              ?   1.196 kHz
Period                 ?  836.120 us
00001             360.00      -20.00
00002             280.00      -20.00
00003             240.00      -12.00
00004             160.00      -16.00
00005              80.00      -16.00
00006               0.00      -16.00
00007             -40.00      -16.00
00008            -120.00      -16.00
00009            -160.00      -16.00
00010            -240.00      -16.00
00011            -760.00      500.00
00012            -600.00      500.00
00013            -440.00      -20.00
00014            -280.00      -36.00
00015            -160.00      -36.00
00016             -80.00      -28.00
00017             120.00      -32.00
00018             200.00      -36.00
00019             320.00      -32.00
00020             440.00      -32.00
00021             560.00      -28.00
00022             640.00      -32.00
00023             800.00      -24.00
00024             840.00      -28.00
00025             960.00      -32.00
00026            1040.00      -28.00
00027            1160.00      -28.00
00028            1200.00      -32.00
00029            1320.00      -28.00
00030            1400.00      -28.00
00031            1480.00      -28.00
00032            1560.00      -24.00
00033            1600.00      -24.00
00034            1640.00      -24.00
00035            1680.00      -28.00
00036            1760.00      -20.00
00037            1760.00      -24.00
00038            1760.00      -28.00
00039            1800.00      -24.00
00040            1840.00      -24.00
00041            1840.00      -24.00
00042            1800.00      -20.00
00043            1800.00      -28.00
00044            1800.00      -20.00
00045            1760.00      -16.00
00046            1760.00      -24.00
00047            1760.00      -24.00
00048            1720.00      -28.00
00049            1680.00      -24.00
00050            1640.00      -16.00
00051            1640.00      -24.00
00052            1560.00      -16.00
00053            1560.00      -24.00
00054            1520.00      -24.00
00055            1480.00      -20.00
00056            1480.00      -20.00
00057            1440.00      -24.00
00058            1440.00      -20.00
00059            1400.00      -20.00
00060            1360.00      -20.00
00061            1320.00      -16.00
00062            1280.00      -20.00
00063            1200.00      -24.00
00064            1200.00      -20.00
00065            1160.00      -12.00
00066            1120.00      -16.00
00067            1040.00      -20.00
00068            1000.00      -16.00
00069             960.00      -16.00
00070             920.00      -20.00
00071             920.00      -16.00
00072             920.00      -16.00
00073             960.00      -16.00
00074             960.00      -20.00
00075            1000.00      -20.00
00076            1040.00      -20.00
00077            1040.00      -12.00
00078            1040.00      -16.00
00079            1080.00      -20.00
00080            1080.00      -16.00
00081            1080.00      -12.00
00082            1080.00      -16.00
00083            1080.00      -24.00
00084            1000.00      -20.00
00085            1000.00      -16.00
00086            1000.00      -20.00
00087             920.00      -16.00
00088             840.00      -20.00
00089             800.00      -12.00
00090             760.00      -12.00
00091             680.00      -16.00
00092             640.00      -20.00
00093             560.00      -16.00
00094             520.00      -12.00
00095             400.00      -16.00
00096             440.00      -28.00
00097             320.00      -20.00
00098             240.00      -16.00
00099             200.00      -12.00
00100              80.00      -16.00
00101              40.00      -20.00
00102             -40.00      -16.00
00103            -120.00      -16.00
00104            -200.00      -20.00
00105            -360.00      -16.00
00106            -480.00      -12.00
00107            -600.00      -20.00
00108            -720.00      -16.00
00109            -920.00      -16.00
00110           -1040.00      -16.00
00111           -1200.00      -20.00
00112           -1320.00      -12.00
00113           -1480.00      -12.00
00114           -1600.00      -16.00
00115           -1720.00      -20.00
00116           -1840.00      -20.00
00117           -1840.00      -12.00
00118           -2000.00      -16.00
