Unit:(mV)
                     CH1         CH2
Frequency              ?   1.226 kHz
Period                 ?  815.661 us
00001             -40.00      -20.00
00002               0.00      -16.00
00003              40.00      -20.00
00004              40.00      -24.00
00005              40.00      -24.00
00006              40.00      -16.00
00007              40.00      -16.00
00008             -40.00      -20.00
00009            -120.00      -20.00
00010            -200.00      -20.00
00011            -200.00      500.00
00012            -280.00      500.00
00013            -360.00      -32.00
00014            -440.00      -40.00
00015            -480.00      -40.00
00016            -560.00      -36.00
00017            -560.00      -36.00
00018            -560.00      -32.00
00019            -480.00      -36.00
00020            -440.00      -36.00
00021            -400.00      -28.00
00022            -280.00      -32.00
00023            -280.00      -36.00
00024            -200.00      -36.00
00025            -120.00      -32.00
00026             -80.00      -32.00
00027               0.00      -32.00
00028               0.00      -28.00
00029              40.00      -32.00
00030              80.00      -32.00
00031             160.00      -20.00
00032             200.00      -28.00
00033             280.00      -28.00
00034             320.00      -36.00
00035             400.00      -32.00
00036             520.00      -28.00
00037             560.00      -28.00
00038             640.00      -28.00
00039             680.00      -28.00
00040             720.00      -24.00
00041             800.00      -28.00
00042             760.00      -28.00
00043             760.00      -32.00
00044             760.00      -28.00
00045             720.00      -24.00
00046             680.00      -28.00
00047             600.00      -28.00
00048             520.00      -24.00
00049             400.00      -24.00
00050             320.00      -28.00
00051             160.00      -24.00
00052              40.00      -28.00
00053            -120.00      -20.00
00054            -320.00      -28.00
00055            -480.00      -24.00
00056            -600.00      -28.00
00057            -720.00      -28.00
00058            -880.00      -16.00
00059           -1000.00      -28.00
00060           -1040.00      -24.00
00061           -1120.00      -24.00
00062           -1200.00      -28.00
00063           -1200.00      -24.00
00064           -1240.00      -24.00
00065           -1280.00      -24.00
00066           -1280.00      -24.00
00067           -1280.00      -28.00
00068           -1280.00      -24.00
00069           -1280.00      -24.00
00070           -1240.00      -24.00
00071           -1160.00      -28.00
00072           -1120.00      -20.00
00073           -1040.00      -16.00
00074            -880.00      -24.00
00075            -720.00      -24.00
00076            -600.00      -28.00
00077            -400.00      -24.00
00078            -240.00      -20.00
00079             -40.00      -16.00
00080             160.00      -24.00
00081             320.00      -20.00
00082             480.00      -20.00
00083             600.00      -24.00
00084             680.00      -20.00
00085             840.00      -20.00
00086             920.00      -24.00
00087            1000.00      -20.00
00088            1040.00      -24.00
00089            1040.00      -20.00
00090            1120.00      -20.00
00091            1120.00      -20.00
00092            1040.00      -20.00
00093             960.00      -16.00
00094             920.00      -20.00
00095             880.00      -20.00
00096             800.00      -20.00
00097             680.00      -16.00
00098             640.00      -20.00
00099             560.00      -20.00
00100             440.00      -24.00
00101             400.00      -20.00
00102             360.00      -20.00
00103             320.00      -16.00
00104             240.00      -20.00
00105             160.00      -24.00
00106              80.00      -16.00
00107               0.00      -20.00
00108             -80.00      -24.00
00109            -160.00      -20.00
00110            -240.00      -20.00
00111            -280.00      -16.00
00112            -360.00      -16.00
00113            -440.00      -24.00
00114            -480.00      -16.00
00115            -560.00      -16.00
00116            -560.00      -20.00
00117            -560.00      -16.00
00118            -480.00      -20.00
00119            -400.00      -16.00
00120            -320.00      -16.00
00121            -200.00      -20.00
00122             -80.00      -16.00
00123               0.00      -16.00
00124              80.00      -20.00
00125             120.00      -20.00
00126             200.00      -16.00
00127             240.00      -24.00
00128             280.00      -20.00
00129             360.00      -16.00
00130             400.00      -20.00
00131             480.00      -24.00
00132             560.00      -20.00
00133             560.00      -20.00
00134             520.00      -16.00
00135             480.00      -16.00
00136             440.00      -20.00
00137             400.00      -20.00
00138             320.00      -20.00
00139             240.00       -4.00
00140             240.00      -20.00
00141             200.00      -20.00
00142             160.00      -16.00
00143              80.00      -20.00
00144              40.00      -20.00
00145             -80.00      -16.00
00146            -200.00      -16.00
00147            -280.00      -20.00
00148            -360.00      -20.00
00149            -440.00      -20.00
00150            -520.00      -20.00
00151            -560.00      -16.00
00152            -600.00      -20.00
00153            -600.00      -20.00
00154            -600.00      -16.00
00155            -600.00      -16.00
00156            -600.00      -20.00
00157            -640.00      -20.00
00158            -600.00      -16.00
00159            -600.00      -16.00
00160            -520.00      -16.00
00161            -480.00      -16.00
00162            -320.00      -16.00
00163            -240.00      -12.00
00164             -80.00      -16.00
00165              40.00      -20.00
00166             160.00      -20.00
00167             240.00      -16.00
00168             280.00      -20.00
00169             360.00      -16.00
00170             440.00      -16.00
00171             520.00      -16.00
00172             560.00      -16.00
00173             640.00      -20.00
00174             680.00      -12.00
00175             720.00      -16.00
00176             800.00      -12.00
00177             800.00      -20.00
00178             800.00      -16.00
00179             800.00      -16.00
00180             800.00      -20.00
00181             800.00      -16.00
00182             720.00       -8.00
00183             760.00      -20.00
00184             720.00      -20.00
00185             680.00      -16.00
00186             680.00      -20.00
00187             600.00      -20.00
00188             560.00      -12.00
00189             480.00      -16.00
00190             400.00      -16.00
00191             240.00      -16.00
00192             160.00      -12.00
00193              80.00      -20.00
00194             -40.00      -16.00
00195            -160.00      -16.00
00196            -280.00      -16.00
00197            -440.00      -16.00
00198            -520.00      -16.00
00199            -640.00      -16.00
00200            -680.00      -12.00
00201            -760.00      -20.00
00202            -720.00      -16.00
00203            -680.00      -16.00
00204            -640.00      -12.00
00205            -520.00      -16.00
00206            -440.00      -16.00
00207            -360.00      -16.00
00208            -240.00      -16.00
00209            -120.00      -16.00
00210             -40.00      -16.00
00211              40.00      -20.00
00212             120.00      -12.00
00213             160.00      -20.00
00214             240.00      -20.00
00215             320.00      -16.00
00216             360.00      -20.00
00217             440.00      -16.00
00218             520.00      -16.00
00219             560.00      -28.00
00220             560.00      -12.00
00221             520.00      -20.00
00222             520.00      -20.00
00223             480.00      -20.00
00224             480.00      -12.00
00225             480.00      -20.00
00226             440.00      -16.00
00227             440.00      -16.00
00228             360.00      -12.00
00229             360.00      -16.00
00230             360.00      -16.00
00231             360.00      -16.00
00232             320.00      -16.00
00233             240.00      -16.00
00234             200.00      -16.00
00235             120.00      -20.00
00236              80.00      -16.00
00237               0.00      -16.00
00238             -80.00       -8.00
00239            -160.00      -12.00
00240            -200.00      -24.00
00241            -280.00      -12.00
00242            -320.00      -16.00
00243            -320.00      -16.00
00244            -320.00      -16.00
00245            -280.00      -12.00
00246            -280.00      -16.00
00247            -200.00      -16.00
00248            -200.00      -16.00
00249            -160.00      -12.00
00250            -120.00      -16.00
00251             -40.00      -12.00
00252               0.00      -20.00
00253              40.00      -20.00
00254              40.00      -16.00
00255              40.00      -16.00
00256              40.00      -16.00
00257               0.00      -20.00
00258             -80.00      -16.00
00259            -120.00      -12.00
00260            -200.00      -20.00
00261            -200.00      500.00
00262            -280.00      500.00
00263            -360.00      -36.00
00264            -400.00      -28.00
00265            -480.00      -36.00
00266            -520.00      -36.00
00267            -560.00      -28.00
00268            -520.00      -36.00
00269            -520.00      -36.00
00270            -480.00      -28.00
00271            -400.00      -36.00
00272            -320.00      -32.00
00273            -240.00      -28.00
00274            -160.00      -28.00
00275            -120.00      -28.00
00276             -80.00      -28.00
00277             -40.00      -32.00
00278               0.00      -32.00
00279              40.00      -24.00
00280             120.00      -28.00
00281             160.00      -24.00
00282             200.00      -24.00
00283             240.00      -32.00
00284             360.00      -24.00
00285             440.00      -24.00
00286             480.00      -24.00
00287             560.00      -28.00
00288             600.00      -24.00
00289             680.00      -20.00
00290             680.00      -28.00
00291             760.00      -24.00
00292             760.00      -28.00
00293             800.00      -16.00
00294             800.00      -28.00
00295             760.00      -28.00
00296             680.00      -24.00
00297             640.00      -28.00
00298             520.00      -24.00
00299             440.00      -28.00
00300             360.00      -28.00
00301             160.00      -24.00
00302               0.00      -24.00
00303            -160.00      -24.00
00304            -360.00      -24.00
00305            -480.00      -24.00
00306            -640.00      -28.00
00307            -760.00      -24.00
00308            -840.00      -24.00
00309            -960.00      -24.00
00310           -1080.00      -20.00
00311           -1120.00      -24.00
00312           -1160.00      -28.00
00313           -1200.00      -20.00
00314           -1240.00      -20.00
00315           -1280.00      -24.00
00316           -1280.00      -24.00
00317           -1320.00      -24.00
00318           -1280.00      -20.00
00319           -1280.00      -24.00
00320           -1240.00      -24.00
00321           -1160.00      -24.00
00322           -1120.00      -24.00
00323           -1000.00      -20.00
00324            -880.00      -24.00
00325            -760.00      -24.00
00326            -600.00      -20.00
00327            -440.00      -28.00
00328            -240.00      -24.00
00329             -40.00      -20.00
00330             160.00      -20.00
00331             320.00      -16.00
00332             480.00      -24.00
00333             640.00      -20.00
00334             720.00      -24.00
00335             840.00      -24.00
00336             920.00      -20.00
00337            1000.00      -24.00
00338            1040.00      -20.00
00339            1080.00      -28.00
00340            1080.00      -20.00
00341            1080.00      -16.00
00342            1040.00      -16.00
00343            1000.00      -20.00
00344             960.00      -20.00
00345             880.00      -16.00
00346             760.00      -20.00
00347             680.00      -24.00
00348             640.00      -24.00
00349             520.00      -16.00
00350             480.00      -20.00
00351             400.00      -20.00
00352             360.00      -24.00
00353             280.00      -28.00
00354             240.00      -24.00
00355             160.00      -20.00
00356              80.00      -20.00
00357               0.00      -20.00
00358             -80.00      -20.00
00359            -160.00      -16.00
00360            -240.00      -24.00
00361            -280.00      -28.00
00362            -360.00      -20.00
00363            -440.00      -24.00
00364            -480.00      -20.00
00365            -560.00      -24.00
00366            -560.00      -24.00
00367            -560.00      -16.00
00368            -480.00      -20.00
00369            -400.00      -20.00
00370            -320.00      -20.00
00371            -200.00      -20.00
00372             -80.00      -20.00
00373               0.00      -20.00
00374              80.00      -20.00
00375             120.00      -24.00
00376             200.00      -20.00
00377             200.00      -20.00
00378             320.00      -20.00
00379             360.00      -20.00
00380             440.00      -16.00
00381             480.00      -20.00
00382             560.00      -20.00
00383             560.00      -24.00
00384             560.00      -20.00
00385             520.00      -16.00
00386             480.00      -20.00
00387             400.00      -24.00
00388             320.00      -16.00
00389             280.00      -20.00
00390             240.00      -20.00
00391             200.00      -20.00
00392             120.00      -20.00
00393              80.00      -20.00
00394               0.00      -20.00
00395             -80.00      -20.00
00396            -160.00      -16.00
00397            -240.00      -20.00
00398            -400.00      -16.00
00399            -440.00      -20.00
00400            -520.00      -20.00
00401            -560.00      -16.00
00402            -600.00      -16.00
00403            -600.00      -20.00
00404            -600.00      -20.00
00405            -600.00      -16.00
00406            -640.00      -20.00
00407            -640.00      -16.00
00408            -600.00      -20.00
00409            -560.00      -20.00
00410            -520.00      -12.00
00411            -440.00      -24.00
00412            -320.00      -20.00
00413            -240.00      -24.00
00414             -80.00      -16.00
00415              40.00      -16.00
00416             120.00      -16.00
00417             240.00      -16.00
00418             280.00      -24.00
00419             360.00      -16.00
00420             480.00      -16.00
