Unit:(mV)
                     CH1         CH2
Frequency              ?   1.357 kHz
Period                 ?  736.920 us
00001             -80.00      -12.00
00002               0.00      -12.00
00003              80.00      -20.00
00004             120.00      -16.00
00005             160.00      -20.00
00006             200.00      -20.00
00007             200.00      -16.00
00008             120.00      -12.00
00009              80.00      -16.00
00010               0.00      -16.00
00011            -280.00      500.00
00012            -400.00      500.00
00013            -480.00      -32.00
00014            -520.00      -36.00
00015            -600.00      -36.00
00016            -680.00      -36.00
00017            -680.00      -32.00
00018            -720.00      -28.00
00019            -640.00      -32.00
00020            -600.00      -36.00
00021            -560.00      -32.00
00022            -520.00      -32.00
00023            -440.00      -32.00
00024            -360.00      -36.00
00025            -280.00      -32.00
00026            -200.00      -24.00
00027            -120.00      -28.00
00028             -40.00      -24.00
00029              40.00      -28.00
00030             120.00      -32.00
00031             200.00      -32.00
00032             280.00      -20.00
00033             360.00      -24.00
00034             440.00      -32.00
00035             520.00      -20.00
00036             600.00      -16.00
00037             680.00      -24.00
00038             680.00      -24.00
00039             760.00      -24.00
00040             800.00      -20.00
00041             840.00      -24.00
00042             840.00      -24.00
00043             800.00      -24.00
00044             800.00      -24.00
00045             720.00      -20.00
00046             640.00      -20.00
00047             560.00      -20.00
00048             440.00      -20.00
00049             320.00      -28.00
00050             160.00      -24.00
00051               0.00      -20.00
00052            -160.00      -20.00
00053            -320.00      -24.00
00054            -480.00      -20.00
00055            -640.00      -20.00
00056            -760.00      -20.00
00057            -880.00      -24.00
00058           -1000.00      -20.00
00059           -1040.00      -20.00
00060           -1120.00      -20.00
00061           -1200.00      -24.00
00062           -1200.00      -20.00
00063           -1240.00      -16.00
00064           -1280.00      -16.00
00065           -1240.00      -20.00
00066           -1240.00      -20.00
00067           -1240.00      -16.00
00068           -1200.00      -16.00
00069           -1200.00      -36.00
00070           -1160.00      -16.00
00071           -1120.00      -16.00
00072           -1000.00      -16.00
00073            -920.00      -24.00
00074            -720.00      -12.00
00075            -560.00      -16.00
00076            -400.00      -20.00
00077            -240.00      -20.00
00078             -80.00      -12.00
00079             120.00      -16.00
00080             360.00      -16.00
00081             560.00      -20.00
00082             680.00      -16.00
00083             840.00      -12.00
00084             920.00      -12.00
00085            1040.00      -20.00
00086            1120.00      -16.00
00087            1200.00      -16.00
00088            1200.00      -20.00
00089            1240.00      -16.00
00090            1240.00      -20.00
00091            1200.00      -12.00
00092            1120.00      -16.00
00093            1040.00      -16.00
00094            1000.00      -12.00
00095             880.00      -16.00
00096             760.00      -16.00
