Unit:(mV)
                     CH1         CH2
Frequency              ?   1.149 kHz
Period                 ?  870.322 us
00001             240.00      -16.00
00002             240.00      -12.00
00003             160.00      -24.00
00004             120.00      -20.00
00005              40.00      -16.00
00006               0.00      -12.00
00007             -80.00      -16.00
00008            -160.00      -16.00
00009            -240.00      -12.00
00010            -320.00      -12.00
00011             360.00      500.00
00012             440.00      500.00
00013             560.00      -28.00
00014             600.00      -36.00
00015             640.00      -32.00
00016             760.00      -36.00
00017             800.00      -32.00
00018             840.00      -36.00
00019             880.00      -28.00
00020             960.00      -32.00
00021             920.00      -32.00
00022             960.00      -36.00
00023            1000.00      -32.00
00024             960.00      -32.00
00025             960.00      -28.00
00026             920.00      -32.00
00027             920.00      -28.00
00028             920.00      -24.00
00029             880.00      -28.00
00030             880.00      -28.00
00031             880.00      -28.00
00032             840.00      -24.00
00033             800.00      -24.00
00034             760.00      -28.00
00035             760.00      -24.00
00036             680.00      -24.00
00037             640.00      -24.00
00038             560.00      -20.00
00039             520.00      -20.00
00040             400.00      -24.00
00041             280.00      -24.00
00042             200.00      -20.00
00043              80.00      -20.00
00044               0.00      -20.00
00045            -160.00      -24.00
00046            -240.00      -20.00
00047            -320.00      -28.00
00048            -440.00      -20.00
00049            -480.00      -20.00
00050            -560.00      -20.00
00051            -640.00      -16.00
00052            -720.00      -20.00
00053            -760.00      -20.00
00054            -760.00      -20.00
00055            -800.00      -16.00
00056            -800.00      -24.00
00057            -800.00      -20.00
00058            -760.00      -24.00
00059            -760.00      -16.00
00060            -760.00      -20.00
00061            -800.00      -20.00
00062            -800.00      -20.00
00063            -840.00      -16.00
00064            -880.00      -16.00
00065            -920.00      -24.00
00066            -920.00      -20.00
00067            -920.00      -16.00
00068           -1000.00      -20.00
00069            -960.00      -24.00
00070            -960.00      -20.00
00071            -920.00      -20.00
00072            -920.00      -16.00
00073            -840.00      -20.00
00074            -800.00      -20.00
00075            -720.00      -24.00
00076            -640.00      -20.00
00077            -560.00      -12.00
00078            -440.00      -16.00
00079            -400.00      -16.00
00080            -320.00      -16.00
00081            -280.00      -20.00
00082            -240.00      -20.00
00083            -200.00      -16.00
00084            -200.00      -20.00
00085            -200.00      -16.00
00086            -200.00      -20.00
00087            -200.00      -16.00
00088            -200.00      -20.00
00089            -200.00      -20.00
00090            -200.00      -16.00
00091            -240.00      -16.00
00092            -200.00      -20.00
00093            -240.00      -20.00
00094            -240.00      -16.00
00095            -200.00      -16.00
00096            -200.00      -16.00
00097            -160.00      -20.00
00098            -120.00      -12.00
00099            -120.00      -16.00
00100             -80.00      -12.00
00101             -40.00      -16.00
00102               0.00      -20.00
00103              40.00      -16.00
00104              40.00      -16.00
00105              40.00      -16.00
00106              40.00      -16.00
00107              40.00      -16.00
00108              40.00      -20.00
00109              40.00      -20.00
00110              40.00      -16.00
00111              40.00      -16.00
00112              40.00      -16.00
00113              80.00      -24.00
00114              40.00      -20.00
00115              80.00      -20.00
00116             120.00      -16.00
00117             200.00      -16.00
00118             280.00      -16.00
00119             360.00      -16.00
00120             480.00      -16.00
00121             560.00      -20.00
00122             640.00      -20.00
00123             720.00      -20.00
00124             760.00      -20.00
00125             800.00      -16.00
00126             800.00      -16.00
00127             760.00      -16.00
00128             760.00      -20.00
00129             720.00      -16.00
00130             720.00      -16.00
00131             680.00      -20.00
00132             560.00      -20.00
00133             520.00      -20.00
00134             400.00      -16.00
00135             320.00      -16.00
00136             240.00      -20.00
00137             160.00      -20.00
00138             120.00      -20.00
00139              40.00      -12.00
00140              40.00      -16.00
00141              80.00      -20.00
00142              80.00      -20.00
00143              80.00      -16.00
00144             120.00      -16.00
00145              80.00      -16.00
00146              40.00      -16.00
00147               0.00      -12.00
00148             -80.00      -12.00
00149            -120.00      -20.00
00150            -240.00      -20.00
00151            -280.00      -20.00
00152            -360.00      -16.00
00153            -360.00      -16.00
00154            -400.00      -20.00
00155            -440.00      -20.00
00156            -400.00      -20.00
00157            -400.00      -16.00
00158            -400.00      -12.00
00159            -320.00      -24.00
00160            -280.00      -20.00
00161            -200.00      -20.00
00162            -160.00      -16.00
00163             -40.00      -20.00
00164              40.00      -20.00
00165              80.00      -24.00
00166             160.00      -20.00
00167             200.00      -20.00
00168             240.00      -24.00
00169             240.00      -16.00
00170             320.00      -16.00
00171             360.00      -20.00
00172             360.00      -20.00
00173             440.00      -20.00
00174             400.00      -16.00
00175             400.00      -20.00
00176             400.00      -20.00
00177             440.00      -20.00
00178             400.00      -20.00
00179             360.00      -20.00
00180             360.00      -12.00
00181             280.00      -16.00
00182             240.00      -20.00
00183             240.00      -20.00
00184             240.00      -24.00
00185             200.00      -20.00
00186             200.00      -20.00
00187             200.00      -20.00
00188             160.00      -20.00
00189             120.00      -20.00
00190              40.00      -16.00
00191             -40.00      -20.00
00192             -80.00      -24.00
00193            -160.00      -20.00
00194            -280.00      -20.00
00195            -400.00      -16.00
00196            -480.00      -20.00
00197            -600.00      -20.00
00198            -720.00      -20.00
00199            -840.00      -20.00
00200            -920.00      -20.00
00201            -960.00      -20.00
00202            -960.00      -20.00
00203           -1000.00      -20.00
00204            -960.00      -16.00
00205            -920.00      -24.00
00206            -880.00      -16.00
00207            -800.00      -20.00
00208            -720.00      -24.00
00209            -720.00      -20.00
00210            -640.00      -20.00
00211            -600.00      -20.00
00212            -560.00      -24.00
00213            -520.00      -16.00
00214            -480.00      -16.00
00215            -440.00      -20.00
00216            -400.00      -16.00
00217            -400.00      -16.00
00218            -360.00      -24.00
00219            -360.00      -16.00
00220            -400.00      -16.00
00221            -400.00      -16.00
00222            -400.00      -16.00
00223            -360.00      -16.00
00224            -240.00      -16.00
00225            -120.00      -20.00
00226               0.00      -12.00
00227              80.00      -20.00
00228             240.00      -20.00
00229             360.00      -28.00
00230             560.00      -20.00
00231             680.00      -12.00
00232             800.00      -16.00
00233             840.00      -20.00
00234             920.00      -24.00
00235             920.00      -24.00
00236            1000.00      -16.00
00237            1000.00      -16.00
00238            1040.00      -20.00
00239            1000.00      -16.00
00240             960.00      -20.00
00241             920.00      -16.00
00242             840.00      -20.00
00243             760.00      -20.00
00244             680.00      -16.00
00245             560.00      -20.00
00246             480.00      -20.00
00247             400.00      -16.00
00248             360.00      -20.00
00249             280.00      -24.00
00250             240.00      -16.00
00251             240.00      -20.00
00252             200.00      -16.00
00253             160.00      -20.00
00254             120.00      -24.00
00255              40.00      -16.00
00256               0.00      -20.00
00257             -80.00      -24.00
00258            -200.00      -20.00
00259            -240.00      -16.00
00260            -360.00      -20.00
00261             360.00      500.00
00262             440.00      500.00
00263             560.00      -32.00
00264             600.00      -36.00
00265             680.00      -36.00
00266             720.00      -40.00
00267             800.00      -36.00
00268             840.00      -32.00
00269             880.00      -36.00
00270             920.00      -32.00
00271             960.00      -36.00
00272             960.00      -36.00
00273            1000.00      -32.00
00274            1000.00      -36.00
00275             960.00      -36.00
00276             960.00      -28.00
00277             920.00      -32.00
00278             920.00      -28.00
00279             880.00      -32.00
00280             840.00      -32.00
00281             840.00      -28.00
00282             800.00      -36.00
00283             800.00      -28.00
00284             760.00      -24.00
00285             760.00      -28.00
00286             680.00      -32.00
00287             680.00      -28.00
00288             560.00      -24.00
00289             520.00      -28.00
00290             360.00      -28.00
00291             280.00      -28.00
00292             200.00      -20.00
00293              80.00      -28.00
00294               0.00      -28.00
00295            -160.00      -20.00
00296            -240.00      -20.00
00297            -320.00      -28.00
00298            -400.00      -20.00
00299            -520.00      -28.00
00300            -600.00      -24.00
00301            -640.00      -28.00
00302            -720.00      -20.00
00303            -760.00      -20.00
00304            -800.00      -24.00
00305            -800.00      -20.00
00306            -800.00      -20.00
00307            -760.00      -20.00
00308            -760.00      -20.00
00309            -760.00      -24.00
00310            -800.00      -24.00
00311            -840.00      -24.00
00312            -800.00      -24.00
00313            -840.00      -24.00
00314            -880.00      -28.00
00315            -920.00      -16.00
00316            -920.00      -20.00
00317            -960.00      -20.00
00318           -1000.00      -24.00
00319           -1000.00      -28.00
00320            -960.00      -20.00
00321            -960.00      -20.00
00322            -920.00      -20.00
00323            -840.00      -20.00
00324            -800.00      -16.00
00325            -680.00      -24.00
00326            -600.00      -20.00
00327            -560.00      -24.00
00328            -440.00      -20.00
00329            -400.00      -20.00
00330            -320.00      -20.00
00331            -280.00      -16.00
00332            -280.00      -24.00
00333            -240.00      -16.00
00334            -240.00      -12.00
00335            -200.00      -16.00
00336            -200.00      -20.00
00337            -240.00      -20.00
00338            -200.00      -20.00
00339            -200.00      -20.00
00340            -200.00      -20.00
00341            -240.00      -24.00
00342            -240.00      -16.00
00343            -240.00      -20.00
00344            -240.00      -16.00
00345            -240.00      -20.00
00346            -200.00      -24.00
00347            -200.00      -20.00
00348            -160.00      -20.00
00349            -120.00      -20.00
00350             -80.00      -20.00
00351             -40.00      -20.00
00352               0.00      -20.00
00353               0.00      -20.00
00354               0.00      -16.00
00355               0.00      -20.00
00356              40.00      -20.00
00357              40.00      -20.00
00358              40.00      -20.00
00359              40.00      -16.00
00360              40.00      -20.00
00361              40.00      -16.00
00362              40.00      -20.00
00363              40.00      -12.00
00364              80.00      -16.00
00365              80.00      -20.00
00366             160.00      -20.00
00367             240.00      -24.00
00368             280.00      -20.00
00369             360.00      -16.00
00370             480.00      -16.00
00371             560.00      -20.00
00372             640.00      -20.00
00373             680.00      -16.00
00374             760.00      -16.00
00375             800.00      -20.00
00376             800.00      -20.00
00377             800.00      -16.00
00378             800.00      -16.00
00379             760.00      -16.00
00380             720.00      -16.00
00381             640.00      -16.00
00382             600.00      -40.00
00383             520.00      -16.00
00384             400.00      -20.00
00385             280.00      -20.00
00386             200.00      -16.00
00387             160.00      -20.00
00388              80.00      -20.00
00389              80.00      -16.00
00390              80.00      -20.00
00391              80.00       -4.00
00392              80.00      -16.00
00393              80.00      -16.00
00394              80.00      -16.00
00395              80.00      -20.00
00396              40.00      -16.00
00397               0.00      -16.00
00398             -80.00      -16.00
00399            -160.00      -20.00
00400            -240.00      -12.00
00401            -280.00      -12.00
00402            -320.00      -16.00
00403            -360.00      -16.00
00404            -440.00      -20.00
00405            -440.00      -16.00
00406            -440.00      -16.00
00407            -400.00      -20.00
00408            -400.00      -16.00
00409            -320.00      -16.00
00410            -280.00      -16.00
00411            -200.00      -20.00
00412            -120.00      -16.00
00413               0.00      -16.00
00414              40.00      -20.00
00415              80.00      -12.00
00416             160.00      -16.00
00417             200.00      -16.00
00418             240.00      -12.00
00419             240.00      -20.00
00420             320.00      -20.00
00421             360.00      -12.00
00422             360.00      -20.00
