Unit:(mV)
                     CH1         CH2
Frequency              ?   1.238 kHz
Period                 ?  807.754 us
00001            -400.00      -16.00
00002            -320.00      -16.00
00003            -240.00      -16.00
00004            -120.00      -16.00
00005             -40.00      -20.00
00006              40.00      -24.00
00007              80.00      -16.00
00008             120.00      -12.00
00009             120.00      -20.00
00010             160.00      -12.00
00011              80.00      500.00
00012             -80.00      500.00
00013            -160.00      -28.00
00014            -280.00      -32.00
00015            -360.00      -44.00
00016            -440.00      -36.00
00017            -560.00      -32.00
00018            -600.00      -36.00
00019            -600.00      -28.00
00020            -640.00      -36.00
00021            -640.00      -28.00
00022            -640.00      -32.00
00023            -600.00      -32.00
00024            -600.00      -32.00
00025            -560.00      -36.00
00026            -480.00      -32.00
00027            -440.00      -28.00
00028            -360.00      -24.00
00029            -240.00      -28.00
00030            -160.00      -24.00
00031             -80.00      -28.00
00032              40.00      -28.00
00033             120.00      -28.00
00034             240.00      -24.00
00035             360.00      -32.00
00036             440.00      -28.00
00037             560.00      -16.00
00038             600.00      -24.00
00039             680.00      -28.00
00040             760.00      -28.00
00041             800.00      -28.00
00042             840.00      -24.00
00043             840.00      -24.00
00044             800.00      -28.00
00045             760.00      -28.00
00046             680.00      -20.00
00047             560.00      -20.00
00048             440.00      -24.00
00049             320.00      -20.00
00050             160.00      -24.00
00051               0.00      -24.00
00052            -160.00      -24.00
00053            -360.00      -20.00
00054            -480.00      -20.00
00055            -640.00      -24.00
00056            -760.00      -20.00
00057            -920.00      -16.00
00058           -1040.00      -20.00
00059           -1160.00      -20.00
00060           -1240.00      -20.00
00061           -1320.00      -20.00
00062           -1320.00      -20.00
00063           -1360.00      -24.00
00064           -1400.00      -24.00
00065           -1400.00      -20.00
00066           -1400.00      -24.00
00067           -1360.00      -20.00
00068           -1360.00      -24.00
00069           -1280.00      -24.00
00070           -1200.00      -24.00
00071           -1160.00      -20.00
00072           -1000.00      -24.00
00073            -880.00      -24.00
00074            -680.00      -20.00
00075            -480.00      -24.00
00076            -320.00      -24.00
00077             -80.00      -16.00
00078             120.00      -20.00
00079             280.00      -16.00
00080             480.00      -20.00
00081             640.00      -20.00
00082             800.00      -20.00
00083             960.00      -16.00
00084            1040.00      -20.00
00085            1120.00      -16.00
00086            1200.00      -20.00
00087            1240.00      -24.00
00088            1240.00      -20.00
00089            1240.00      -20.00
00090            1200.00      -16.00
00091            1160.00      -24.00
00092            1080.00      -16.00
00093            1040.00      -20.00
00094             920.00      -20.00
00095             880.00      -20.00
00096             760.00      -20.00
00097             680.00      -24.00
00098             600.00      -20.00
00099             520.00      -16.00
00100             400.00      -20.00
00101             280.00      -28.00
00102             160.00      -28.00
00103              80.00      -16.00
00104               0.00      -24.00
00105            -120.00      -20.00
00106            -240.00      -24.00
00107            -280.00      -20.00
00108            -440.00      -20.00
00109            -520.00      -16.00
00110            -600.00      -24.00
00111            -680.00      -20.00
00112            -720.00      -20.00
00113            -760.00      -24.00
00114            -800.00      -24.00
00115            -800.00      -20.00
00116            -720.00      -24.00
00117            -640.00      -20.00
00118            -560.00      -20.00
00119            -440.00      -20.00
00120            -280.00      -20.00
00121            -120.00      -28.00
00122              80.00      -24.00
00123             200.00      -24.00
00124             320.00      -24.00
00125             360.00      -20.00
00126             480.00      -20.00
00127             560.00      -20.00
00128             600.00      -20.00
00129             640.00      -20.00
00130             680.00      -20.00
00131             680.00      -20.00
00132             720.00      -20.00
00133             720.00      -20.00
00134             680.00      -20.00
00135             640.00      -24.00
00136             600.00      -24.00
00137             520.00      -20.00
00138             480.00      -20.00
00139             400.00      -20.00
00140             400.00      -20.00
00141             320.00      -16.00
00142             320.00      -20.00
00143             240.00      -16.00
00144             200.00      -24.00
00145              80.00      -16.00
00146             -40.00      -24.00
00147            -120.00      -24.00
00148            -200.00      -16.00
00149            -320.00      -16.00
00150            -400.00      -24.00
00151            -480.00      -20.00
00152            -520.00      -16.00
00153            -520.00      -24.00
00154            -600.00      -20.00
00155            -600.00      -20.00
00156            -640.00      -24.00
00157            -640.00      -16.00
00158            -640.00      -16.00
00159            -600.00      -24.00
00160            -520.00      -28.00
00161            -440.00      -20.00
00162            -280.00      -20.00
00163             -80.00      -16.00
00164              80.00      -28.00
00165             240.00      -20.00
00166             400.00      -20.00
00167             520.00      -20.00
00168             640.00      -20.00
00169             680.00      -24.00
00170             760.00      -16.00
00171             800.00      -24.00
00172             840.00      -20.00
00173             880.00      -20.00
00174             880.00      -24.00
00175             840.00      -20.00
00176             840.00      -20.00
00177             840.00      -16.00
00178             800.00      -16.00
00179             720.00      -16.00
00180             640.00      -20.00
00181             640.00      -24.00
00182             560.00      -16.00
00183             520.00      -16.00
00184             520.00      -20.00
00185             440.00      -20.00
00186             440.00      -20.00
00187             360.00      -24.00
00188             280.00      -20.00
00189             200.00      -20.00
00190              80.00      -24.00
00191               0.00      -20.00
00192            -120.00      -20.00
00193            -240.00      -24.00
00194            -280.00      -24.00
00195            -440.00      -16.00
00196            -520.00      -20.00
00197            -640.00      -24.00
00198            -720.00      -20.00
00199            -800.00      -16.00
00200            -800.00      -20.00
00201            -840.00      -24.00
00202            -800.00      -20.00
00203            -720.00      -20.00
00204            -600.00      -20.00
00205            -480.00      -20.00
00206            -320.00      -20.00
00207            -160.00      -20.00
00208              40.00      -20.00
00209             200.00      -20.00
00210             360.00      -20.00
00211             520.00      -16.00
00212             640.00      -20.00
00213             800.00      -20.00
00214             880.00      -16.00
00215            1000.00      -24.00
00216            1080.00      -20.00
00217            1080.00      -20.00
00218            1160.00      -20.00
00219            1160.00      -16.00
00220            1080.00      -24.00
00221            1000.00      -24.00
00222             880.00      -16.00
00223             760.00      -20.00
00224             640.00      -24.00
00225             520.00      -20.00
00226             400.00      -24.00
00227             320.00      -16.00
00228             200.00      -20.00
00229             120.00       -8.00
00230              80.00      -24.00
00231               0.00      -20.00
00232             -40.00      -16.00
00233             -80.00      -20.00
00234            -160.00      -16.00
00235            -200.00      -20.00
00236            -240.00      -20.00
00237            -320.00      -20.00
00238            -360.00      -20.00
00239            -440.00      -16.00
00240            -520.00      -20.00
00241            -600.00      -16.00
00242            -640.00      -20.00
00243            -680.00      -16.00
00244            -720.00      -20.00
00245            -720.00      -20.00
00246            -720.00      -20.00
00247            -720.00      -24.00
00248            -680.00      -16.00
00249            -640.00      -20.00
00250            -560.00      -20.00
00251            -480.00      -16.00
00252            -360.00      -20.00
00253            -280.00      -20.00
00254            -160.00      -20.00
00255            -120.00      -20.00
00256               0.00      -16.00
00257              40.00      -20.00
00258              80.00      -20.00
00259              80.00      -20.00
00260              80.00      -12.00
00261              80.00      500.00
00262             -40.00      500.00
00263            -160.00      -32.00
00264            -280.00      -28.00
00265            -360.00      -40.00
00266            -440.00      -40.00
00267            -520.00      -36.00
00268            -560.00      -28.00
00269            -600.00      -32.00
00270            -600.00      -32.00
00271            -600.00      -32.00
00272            -640.00      -28.00
00273            -600.00      -32.00
00274            -560.00      -36.00
00275            -480.00      -32.00
00276            -440.00      -32.00
00277            -360.00      -32.00
00278            -280.00      -28.00
00279            -200.00      -32.00
00280            -120.00      -32.00
00281             -40.00      -32.00
00282              40.00      -32.00
00283             200.00      -32.00
00284             320.00      -28.00
00285             400.00      -32.00
00286             520.00      -24.00
00287             600.00      -24.00
00288             680.00      -32.00
00289             720.00      -32.00
00290             840.00      -24.00
00291             840.00      -24.00
00292             880.00      -28.00
00293             880.00      -28.00
00294             840.00      -24.00
00295             800.00      -28.00
00296             720.00      -24.00
00297             640.00      -24.00
00298             480.00      -32.00
00299             360.00      -20.00
00300             200.00      -24.00
00301              40.00      -16.00
00302            -120.00      -20.00
00303            -280.00      -28.00
00304            -440.00      -20.00
00305            -600.00      -24.00
00306            -760.00      -24.00
00307            -880.00      -20.00
00308           -1000.00      -24.00
00309           -1120.00      -24.00
00310           -1240.00      -24.00
00311           -1280.00      -24.00
00312           -1280.00      -24.00
00313           -1320.00      -24.00
00314           -1360.00      -20.00
00315           -1400.00      -16.00
00316           -1360.00      -20.00
00317           -1360.00      -16.00
00318           -1320.00      -20.00
00319           -1280.00      -20.00
00320           -1200.00      -20.00
00321           -1120.00      -24.00
00322           -1000.00      -20.00
00323            -880.00      -20.00
00324            -680.00      -20.00
00325            -560.00      -20.00
00326            -320.00      -24.00
00327            -120.00      -20.00
00328             120.00      -20.00
00329             280.00      -20.00
00330             480.00      -20.00
00331             640.00      -16.00
00332             800.00      -20.00
00333             920.00      -24.00
00334            1040.00      -24.00
00335            1120.00      -20.00
00336            1200.00      -20.00
00337            1200.00      -20.00
00338            1240.00      -20.00
00339            1240.00      -20.00
00340            1240.00      -20.00
00341            1160.00      -16.00
00342            1120.00      -20.00
00343            1040.00      -16.00
00344             920.00      -16.00
00345             840.00      -16.00
00346             760.00      -20.00
00347             640.00      -12.00
00348             560.00      -24.00
00349             480.00      -20.00
00350             400.00      -16.00
00351             240.00      -24.00
00352             160.00      -16.00
00353              80.00      -16.00
00354             -40.00      -20.00
00355            -120.00      -20.00
00356            -240.00      -16.00
00357            -360.00      -20.00
00358            -440.00      -16.00
00359            -560.00      -16.00
00360            -640.00      -20.00
00361            -720.00      -16.00
00362            -760.00      -12.00
00363            -800.00      -16.00
00364            -800.00      -16.00
00365            -760.00      -20.00
00366            -760.00      -16.00
00367            -680.00      -16.00
00368            -600.00      -16.00
00369            -440.00      -16.00
00370            -320.00      -16.00
00371            -120.00      -16.00
00372              40.00      -20.00
00373             160.00      -20.00
00374             240.00      -16.00
00375             320.00      -16.00
00376             440.00      -20.00
00377             520.00      -20.00
00378             520.00      -20.00
00379             600.00      -16.00
00380             640.00      -16.00
00381             640.00      -16.00
00382             640.00      -16.00
00383             640.00      -16.00
00384             600.00      -16.00
00385             600.00      -12.00
00386             560.00      -20.00
00387             480.00      -20.00
00388             400.00      -16.00
00389             400.00      -12.00
00390             360.00      -12.00
00391             280.00      -20.00
00392             240.00      -16.00
00393             200.00      -12.00
00394             120.00      -12.00
00395              40.00      -16.00
00396             -80.00      -20.00
00397            -160.00      -16.00
00398            -240.00      -12.00
00399            -320.00      -16.00
00400            -440.00      -16.00
00401            -480.00      -24.00
00402            -560.00      -16.00
00403            -600.00      -12.00
00404            -640.00      -16.00
00405            -640.00      -16.00
00406            -640.00      -12.00
00407            -680.00      -12.00
00408            -680.00      -12.00
00409            -600.00      -12.00
00410            -520.00      -20.00
00411            -440.00      -20.00
00412            -280.00      -16.00
00413            -120.00      -20.00
00414             120.00      -20.00
00415             240.00      -12.00
00416             400.00      -16.00
00417             520.00      -12.00
00418             640.00      -12.00
00419             720.00      -16.00
00420             760.00      -20.00
00421             840.00      -16.00
00422             880.00      -16.00
00423             880.00      -12.00
00424             880.00      -20.00
00425             880.00      -12.00
00426             880.00      -16.00
00427             840.00      -16.00
00428             840.00      -16.00
00429             760.00       -8.00
00430             720.00      -16.00
00431             680.00      -20.00
00432             640.00      -16.00
00433             600.00      -16.00
00434             560.00      -12.00
00435             520.00      -16.00
00436             480.00      -20.00
00437             440.00      -16.00
00438             360.00      -16.00
00439             240.00      -20.00
00440             160.00      -16.00
00441              80.00      -24.00
00442             -80.00      -16.00
00443            -200.00      -16.00
00444            -280.00      -16.00
00445            -400.00      -16.00
00446            -480.00      -20.00
00447            -600.00       -8.00
00448            -640.00      -20.00
00449            -720.00      -16.00
00450            -760.00      -20.00
00451            -800.00      -16.00
00452            -720.00      -16.00
00453            -640.00      -20.00
00454            -560.00      -20.00
00455            -400.00      -20.00
00456            -280.00      -16.00
00457            -120.00      -20.00
00458              40.00      -20.00
00459             280.00      -20.00
00460             440.00      -16.00
00461             560.00      -16.00
00462             720.00      -16.00
00463             800.00      -20.00
00464             880.00      -16.00
00465            1040.00      -24.00
00466            1080.00      -16.00
00467            1120.00      -16.00
00468            1160.00      -16.00
00469            1160.00      -16.00
00470            1120.00      -16.00
00471            1040.00      -16.00
00472             920.00      -16.00
00473             840.00      -20.00
00474             680.00      -20.00
00475             520.00      -12.00
00476             440.00      -20.00
00477             320.00      -16.00
00478             240.00      -16.00
00479             160.00      -24.00
00480              40.00      -24.00
