Unit:(mV)
                     CH1         CH2
Frequency              ?   1.190 kHz
Period                 ?  840.336 us
00001             400.00      -16.00
00002             360.00      -24.00
00003             280.00      -12.00
00004             240.00      -16.00
00005              80.00      -20.00
00006              40.00      -16.00
00007            -120.00      -16.00
00008            -200.00      -20.00
00009            -360.00      -16.00
00010            -480.00      500.00
00011             280.00      500.00
00012             360.00      500.00
00013             440.00      -32.00
00014             560.00      -32.00
00015             600.00      -32.00
00016             640.00      -40.00
00017             720.00      -36.00
00018             800.00      -40.00
00019             840.00      -36.00
00020             880.00      -36.00
00021             920.00      -32.00
00022             960.00      -32.00
00023             960.00      -36.00
00024             960.00      -32.00
00025             960.00      -36.00
00026             960.00      -28.00
00027             920.00      -32.00
00028             840.00      -32.00
00029             800.00      -36.00
00030             760.00      -28.00
00031             680.00      -32.00
00032             680.00      -36.00
00033             600.00      -28.00
00034             600.00      -24.00
00035             520.00      -32.00
00036             440.00      -32.00
00037             360.00      -32.00
00038             320.00      -32.00
00039             200.00      -24.00
00040             120.00      -28.00
00041              40.00      -28.00
00042             -40.00      -28.00
00043            -160.00      -28.00
00044            -240.00      -24.00
00045            -280.00      -28.00
00046            -400.00      -32.00
00047            -480.00      -24.00
00048            -560.00      -32.00
00049            -600.00      -28.00
00050            -640.00      -28.00
00051            -720.00      -28.00
00052            -720.00      -20.00
00053            -720.00      -24.00
00054            -760.00      -28.00
00055            -760.00      -28.00
00056            -680.00      -24.00
00057            -680.00      -24.00
00058            -640.00      -24.00
00059            -680.00      -20.00
00060            -640.00      -28.00
00061            -640.00      -24.00
00062            -640.00      -16.00
00063            -640.00      -24.00
00064            -640.00      -28.00
00065            -640.00      -24.00
00066            -640.00      -20.00
00067            -640.00      -28.00
00068            -680.00      -24.00
00069            -680.00      -24.00
00070            -680.00      -20.00
00071            -640.00      -16.00
00072            -640.00      -20.00
00073            -560.00      -24.00
00074            -520.00      -24.00
00075            -480.00      -20.00
00076            -440.00      -20.00
00077            -440.00      -24.00
00078            -400.00      -20.00
00079            -360.00      -24.00
00080            -360.00      -16.00
00081            -360.00      -20.00
00082            -360.00      -20.00
00083            -400.00      -28.00
00084            -360.00      -20.00
00085            -360.00      -24.00
00086            -360.00      -20.00
00087            -360.00      -28.00
00088            -360.00      -20.00
00089            -320.00      -16.00
00090            -280.00      -16.00
00091            -320.00      -20.00
00092            -320.00      -20.00
00093            -320.00      -24.00
00094            -280.00      -24.00
00095            -280.00      -24.00
00096            -280.00      -24.00
00097            -200.00      -24.00
00098            -160.00      -24.00
00099            -120.00      -12.00
00100             -80.00      -20.00
00101               0.00      -24.00
00102              40.00      -16.00
00103              80.00      -16.00
