Unit:(mV)
                     CH1         CH2
Frequency              ?   1.173 kHz
Period                 ?  852.515 us
00001             160.00      -16.00
00002             120.00      -16.00
00003              80.00      -16.00
00004              80.00      -12.00
00005              40.00      -12.00
00006             -40.00      -12.00
00007             -40.00      -16.00
00008            -120.00      -16.00
00009            -200.00      -16.00
00010            -280.00      -12.00
00011             280.00      500.00
00012             360.00      500.00
00013             480.00      -20.00
00014             560.00      -32.00
00015             680.00      -36.00
00016             760.00      -40.00
00017             800.00      -36.00
00018             800.00      -32.00
00019             880.00      -32.00
00020             920.00      -32.00
00021             920.00      -32.00
00022             960.00      -32.00
00023             960.00      -28.00
00024             960.00      -32.00
00025             880.00      -36.00
00026             880.00      -32.00
00027             840.00      -32.00
00028             840.00      -28.00
00029             800.00      -36.00
00030             800.00      -24.00
00031             720.00      -32.00
00032             720.00      -24.00
00033             680.00      -28.00
00034             680.00      -28.00
00035             640.00      -28.00
00036             600.00      -28.00
00037             560.00      -28.00
00038             480.00      -28.00
00039             400.00      -28.00
00040             320.00      -36.00
00041             240.00      -24.00
00042             120.00      -20.00
00043              40.00      -28.00
00044             -80.00      -28.00
00045            -160.00      -28.00
00046            -320.00      -24.00
00047            -360.00      -28.00
00048            -520.00      -28.00
00049            -600.00      -28.00
00050            -680.00      -24.00
00051            -760.00      -24.00
00052            -800.00      -28.00
00053            -880.00      -24.00
00054            -920.00      -24.00
00055            -920.00      -28.00
00056            -920.00      -28.00
00057            -880.00      -24.00
00058            -880.00      -24.00
00059            -840.00      -20.00
00060            -800.00      -20.00
00061            -840.00      -28.00
00062            -800.00      -20.00
00063            -840.00      -28.00
00064            -840.00      -24.00
00065            -880.00      -24.00
00066            -880.00      -24.00
00067            -880.00      -20.00
00068            -880.00      -20.00
00069            -920.00      -20.00
00070            -920.00      -20.00
00071            -880.00      -24.00
00072            -880.00      -20.00
00073            -800.00      -28.00
00074            -720.00      -24.00
00075            -680.00      -24.00
00076            -600.00      -20.00
00077            -480.00      -20.00
00078            -400.00      -20.00
00079            -320.00      -20.00
00080            -240.00      -28.00
00081            -200.00      -24.00
00082            -120.00      -20.00
00083            -120.00      -24.00
00084            -120.00      -16.00
00085             -80.00      -16.00
