Unit:(mV)
                     CH1         CH2
Frequency              ?   1.179 kHz
Period                 ?  848.176 us
00001             240.00      -20.00
00002             200.00      -16.00
00003             160.00      -16.00
00004             120.00      -20.00
00005              80.00      -16.00
00006              40.00      -16.00
00007             -80.00      -20.00
00008            -160.00      -20.00
00009            -240.00      -16.00
00010            -320.00      -20.00
00011             320.00      500.00
00012             400.00      500.00
00013             520.00      500.00
00014             560.00      -28.00
00015             640.00      -36.00
00016             720.00      -36.00
00017             760.00      -32.00
00018             800.00      -32.00
00019             840.00      -32.00
00020             880.00      -28.00
00021             880.00      -32.00
00022             920.00      -28.00
00023             920.00      -28.00
00024             960.00      -28.00
00025             960.00      -28.00
00026             920.00      -32.00
00027             920.00      -24.00
00028             960.00      -28.00
00029             880.00      -28.00
00030             880.00      -32.00
00031             880.00      -32.00
00032             880.00      -20.00
00033             840.00      -24.00
00034             800.00      -28.00
00035             800.00      -24.00
00036             800.00      -28.00
00037             720.00      -20.00
00038             640.00      -24.00
00039             560.00      -28.00
00040             440.00      -32.00
00041             320.00      -20.00
00042             240.00      -20.00
00043              80.00      -24.00
00044               0.00      -28.00
00045             -80.00      -20.00
00046            -200.00      -24.00
00047            -320.00      -24.00
00048            -400.00      -20.00
00049            -520.00      -24.00
00050            -600.00      -20.00
00051            -680.00      -20.00
00052            -760.00      -12.00
00053            -800.00      -20.00
00054            -840.00      -16.00
00055            -840.00      -20.00
00056            -880.00      -28.00
00057            -840.00      -20.00
00058            -840.00      -20.00
00059            -840.00      -20.00
00060            -880.00      -16.00
00061            -880.00      -20.00
00062            -920.00      -16.00
00063            -920.00      -20.00
00064            -960.00      -20.00
00065           -1040.00      -20.00
00066           -1040.00      -12.00
00067           -1080.00      -16.00
00068           -1080.00      -20.00
00069           -1040.00      -20.00
00070           -1040.00      -20.00
00071           -1040.00      -16.00
00072            -960.00      -16.00
00073            -880.00      -16.00
00074            -800.00      -20.00
00075            -720.00      -16.00
00076            -600.00      -16.00
00077            -520.00      -20.00
00078            -440.00      -12.00
00079            -360.00      -16.00
00080            -240.00      -20.00
00081            -200.00      -16.00
00082            -160.00      -16.00
00083            -120.00      -16.00
00084            -120.00      -16.00
00085            -120.00      -12.00
00086             -80.00      -20.00
00087            -120.00      -12.00
00088             -80.00      -20.00
00089             -80.00      -16.00
00090            -120.00      -16.00
00091            -120.00      -16.00
00092            -160.00      -20.00
00093            -160.00      -16.00
00094            -200.00      -16.00
00095            -200.00      -12.00
00096            -160.00      -20.00
00097            -160.00      -16.00
00098            -120.00      -16.00
00099            -120.00      -12.00
00100             -80.00      -12.00
00101             -40.00      -20.00
00102             -40.00      -16.00
00103             -40.00      -24.00
00104               0.00      -12.00
00105               0.00      -16.00
00106               0.00      -20.00
00107             -40.00      -16.00
00108             -40.00      -12.00
00109             -40.00      -16.00
00110             -80.00      -12.00
00111             -40.00      -16.00
00112             -80.00      -12.00
00113             -80.00      -16.00
00114             -40.00      -16.00
00115               0.00      -16.00
00116              40.00      -16.00
00117             160.00      -12.00
00118             240.00      -16.00
00119             360.00      -12.00
00120             440.00      -12.00
00121             560.00      -16.00
00122             680.00      -12.00
00123             760.00      -12.00
00124             840.00      -16.00
00125             840.00      -16.00
00126             880.00      -12.00
00127             880.00      -12.00
00128             880.00      -16.00
00129             880.00      -20.00
00130             840.00      -12.00
00131             800.00      -16.00
00132             720.00      -16.00
00133             640.00      -16.00
00134             560.00      -12.00
00135             480.00      -16.00
00136             360.00      -12.00
00137             240.00      -20.00
00138             200.00      -12.00
00139             120.00      -16.00
00140              80.00      -16.00
00141             120.00      -20.00
00142             120.00      -16.00
00143              80.00      -20.00
00144              80.00      -16.00
00145              40.00      -16.00
00146              40.00      -12.00
00147             -40.00      -16.00
00148            -120.00      -16.00
00149            -240.00      -12.00
00150            -360.00      -12.00
00151            -400.00      -12.00
00152            -480.00      -12.00
00153            -520.00      -12.00
00154            -560.00      -16.00
00155            -600.00      -16.00
00156            -600.00      -16.00
00157            -560.00      -16.00
00158            -520.00      -12.00
00159            -520.00      -12.00
00160            -440.00      -24.00
00161            -360.00      -16.00
00162            -280.00      -16.00
00163            -200.00      -12.00
00164             -80.00      -16.00
00165               0.00      -16.00
00166              40.00      -16.00
00167             120.00      -16.00
00168             160.00      -16.00
00169             200.00      -16.00
00170             280.00      -16.00
00171             320.00      -20.00
00172             360.00      -12.00
00173             360.00      -12.00
00174             360.00      -16.00
00175             400.00      -20.00
00176             400.00      -12.00
00177             400.00      -20.00
00178             360.00      -16.00
00179             360.00      -12.00
00180             320.00      -16.00
00181             320.00      -16.00
00182             280.00      -16.00
00183             240.00      -12.00
00184             240.00      -20.00
00185             240.00      -12.00
00186             240.00      -16.00
00187             200.00      -16.00
00188             240.00      -20.00
00189             120.00      -12.00
00190              80.00      -16.00
00191              40.00      -20.00
00192             -80.00      -20.00
00193            -160.00      -12.00
00194            -240.00      -12.00
00195            -360.00      -16.00
00196            -520.00      -16.00
00197            -640.00      -16.00
00198            -760.00      -16.00
00199            -840.00      -16.00
00200            -920.00      -16.00
00201            -960.00      -12.00
00202           -1000.00      -12.00
00203            -960.00      -16.00
00204            -960.00      -12.00
00205            -920.00      -16.00
00206            -880.00      -16.00
00207            -800.00      -16.00
00208            -760.00      -20.00
00209            -680.00      -16.00
00210            -600.00      -20.00
00211            -560.00      -16.00
00212            -520.00      -16.00
00213            -480.00      -12.00
00214            -400.00      -24.00
00215            -360.00      -16.00
00216            -400.00      -20.00
00217            -320.00      -16.00
00218            -320.00      -20.00
00219            -360.00      -16.00
00220            -360.00      -16.00
00221            -400.00      -16.00
00222            -320.00      -24.00
00223            -320.00      -20.00
00224            -240.00      -20.00
00225            -120.00      -16.00
00226             -40.00      -16.00
00227             120.00      -20.00
00228             240.00      -16.00
00229             400.00      -20.00
00230             560.00      -16.00
00231             680.00      -16.00
00232             840.00      -16.00
00233             880.00      -20.00
00234             960.00      -16.00
00235            1000.00      -20.00
00236            1040.00      -20.00
00237            1080.00      -16.00
00238            1080.00      -16.00
00239            1040.00      -16.00
00240            1000.00      -16.00
00241             960.00      -20.00
00242             880.00      -16.00
00243             720.00      -24.00
00244             640.00      -16.00
00245             520.00      -16.00
00246             440.00      -20.00
00247             400.00      -24.00
00248             360.00      -12.00
00249             320.00      -20.00
00250             240.00      -16.00
00251             240.00      -20.00
00252             240.00      -20.00
00253             160.00      -16.00
00254             160.00      -16.00
00255              80.00      -16.00
00256               0.00      -16.00
00257             -80.00      -16.00
00258            -160.00      -16.00
00259            -240.00      -20.00
00260            -280.00      -16.00
00261             360.00      500.00
00262             440.00      500.00
00263             520.00      500.00
00264             560.00      -40.00
00265             640.00      -36.00
00266             720.00      -32.00
00267             800.00      -40.00
00268             800.00      -32.00
00269             880.00      -36.00
00270             880.00      -32.00
00271             920.00      -32.00
00272             920.00      -40.00
00273             960.00      -32.00
00274             920.00      -32.00
00275             960.00      -32.00
00276             960.00      -28.00
00277             920.00      -28.00
00278             920.00      -28.00
00279             880.00      -32.00
00280             880.00      -32.00
00281             880.00      -32.00
00282             840.00      -32.00
00283             840.00      -20.00
00284             800.00      -36.00
00285             800.00      -32.00
00286             800.00      -28.00
00287             680.00      -24.00
00288             640.00      -32.00
00289             560.00      -28.00
00290             440.00      -24.00
00291             360.00      -28.00
00292             240.00      -28.00
00293             120.00      -28.00
00294               0.00      -24.00
00295            -120.00      -28.00
00296            -200.00      -20.00
00297            -320.00      -24.00
00298            -400.00      -28.00
00299            -520.00      -28.00
00300            -600.00      -24.00
00301            -680.00      -24.00
00302            -760.00      -20.00
00303            -800.00      -24.00
00304            -840.00      -20.00
00305            -880.00      -20.00
00306            -840.00      -20.00
00307            -880.00      -24.00
00308            -880.00      -20.00
00309            -840.00      -20.00
00310            -840.00      -24.00
00311            -880.00      -20.00
00312            -920.00      -20.00
00313            -920.00      -20.00
00314            -960.00      -24.00
00315           -1000.00      -20.00
00316           -1040.00      -20.00
00317           -1040.00      -16.00
00318           -1040.00      -20.00
00319           -1040.00      -20.00
00320           -1040.00      -20.00
00321           -1000.00      -16.00
00322            -920.00      -16.00
00323            -880.00      -16.00
00324            -760.00      -20.00
00325            -720.00      -24.00
00326            -600.00      -16.00
00327            -520.00      -20.00
00328            -400.00      -24.00
00329            -360.00      -20.00
00330            -280.00      -24.00
00331            -200.00      -20.00
00332            -160.00      -16.00
00333            -120.00      -16.00
00334             -80.00      -20.00
00335            -120.00      -20.00
00336             -80.00      -20.00
00337            -120.00      -20.00
00338            -120.00      -20.00
00339            -120.00      -20.00
00340            -160.00      -16.00
00341            -120.00      -20.00
00342            -160.00      -16.00
00343            -200.00      -16.00
00344            -160.00      -16.00
00345            -160.00      -20.00
00346            -160.00      -16.00
00347            -160.00      -12.00
00348            -120.00      -16.00
00349            -120.00      -20.00
00350             -80.00      -20.00
00351             -40.00      -12.00
00352               0.00      -16.00
00353             -40.00      -12.00
00354               0.00      -24.00
00355               0.00      -20.00
00356               0.00      -12.00
00357             -40.00      -16.00
00358             -40.00      -20.00
00359             -40.00      -24.00
00360             -80.00      -20.00
00361             -80.00      -16.00
00362             -80.00      -16.00
00363             -80.00      -20.00
00364             -40.00      -20.00
00365               0.00      -12.00
00366              40.00      -20.00
00367             120.00      -16.00
00368             200.00      -16.00
00369             320.00      -20.00
00370             440.00      -16.00
00371             560.00      -16.00
00372             680.00      -16.00
00373             760.00      -20.00
00374             840.00      -16.00
00375             880.00      -16.00
00376             880.00      -16.00
00377             920.00      -16.00
00378             920.00      -20.00
00379             880.00      -12.00
