Unit:(mV)
                     CH1         CH2
Frequency              ?   1.220 kHz
Period                 ?  819.672 us
00001             -40.00      -20.00
00002             -40.00      -16.00
00003               0.00      -20.00
00004              40.00      -20.00
00005              40.00      -16.00
00006               0.00      -20.00
00007               0.00      -16.00
00008               0.00      -24.00
00009             -80.00      -20.00
00010            -120.00      500.00
00011            -240.00      500.00
00012            -320.00      500.00
00013            -400.00      -36.00
00014            -400.00      -36.00
00015            -520.00      -40.00
00016            -560.00      -36.00
00017            -560.00      -40.00
00018            -520.00      -40.00
00019            -520.00      -32.00
00020            -480.00      -36.00
00021            -400.00      -36.00
00022            -360.00      -32.00
00023            -320.00      -36.00
00024            -240.00      -32.00
00025            -200.00      -28.00
00026            -120.00      -32.00
00027             -80.00      -28.00
00028               0.00      -24.00
00029              40.00      -28.00
00030             120.00      -24.00
00031             200.00      -28.00
00032             240.00      -28.00
00033             320.00      -24.00
00034             400.00      -28.00
00035             440.00      -28.00
00036             480.00      -28.00
00037             560.00      -28.00
00038             600.00      -28.00
00039             640.00      -28.00
00040             680.00      -24.00
00041             720.00      -24.00
00042             720.00      -20.00
00043             720.00      -24.00
00044             720.00      -28.00
00045             680.00      -24.00
00046             600.00      -20.00
00047             560.00      -24.00
00048             440.00      -28.00
00049             320.00      -16.00
00050             200.00      -20.00
00051              40.00      -20.00
00052            -120.00      -24.00
00053            -280.00      -20.00
00054            -440.00      -24.00
00055            -560.00      -20.00
00056            -680.00      -16.00
00057            -800.00      -24.00
00058            -920.00      -24.00
00059            -960.00      -24.00
00060           -1040.00      -20.00
00061           -1040.00      -20.00
00062           -1080.00      -20.00
00063           -1120.00      -20.00
00064           -1120.00      -20.00
00065           -1120.00      -20.00
00066           -1120.00      -24.00
00067           -1160.00      -20.00
00068           -1160.00      -16.00
00069           -1120.00      -20.00
00070           -1160.00      -28.00
00071           -1040.00      -20.00
00072           -1000.00      -16.00
00073            -840.00      -20.00
00074            -720.00      -20.00
00075            -600.00      -24.00
00076            -400.00      -16.00
00077            -240.00      -20.00
00078             -80.00      -20.00
00079              80.00      -20.00
00080             280.00      -16.00
00081             400.00      -20.00
00082             560.00      -20.00
00083             720.00      -20.00
00084             800.00      -20.00
00085             880.00      -12.00
00086            1000.00      -20.00
00087            1040.00      -20.00
00088            1080.00      -20.00
00089            1080.00      -20.00
00090            1080.00      -20.00
00091            1040.00      -24.00
00092            1000.00      -16.00
00093             920.00      -20.00
00094             840.00      -16.00
00095             760.00      -16.00
00096             680.00      -16.00
