Unit:(mV)
                     CH1         CH2
Frequency              ?   1.196 kHz
Period                 ?  836.120 us
00001             120.00      -16.00
00002             160.00      -12.00
00003             160.00      -16.00
00004             160.00      -16.00
00005             200.00      -20.00
00006             200.00      -16.00
00007             200.00      -16.00
00008             160.00      -12.00
00009             120.00      -12.00
00010              80.00      -16.00
00011             200.00      500.00
00012             280.00      500.00
00013             320.00      500.00
00014             400.00      -28.00
00015             440.00      -32.00
00016             480.00      -32.00
00017             520.00      -36.00
00018             560.00      -36.00
00019             640.00      -36.00
00020             640.00      -28.00
00021             640.00      -32.00
00022             680.00      -32.00
00023             680.00      -28.00
00024             680.00      -32.00
00025             680.00      -32.00
00026             640.00      -28.00
00027             640.00      -28.00
00028             600.00      -24.00
00029             600.00      -32.00
00030             600.00      -28.00
00031             600.00      -24.00
00032             640.00      -28.00
00033             680.00      -28.00
00034             680.00      -28.00
00035             720.00      -24.00
00036             760.00      -28.00
00037             720.00      -28.00
00038             760.00      -24.00
00039             720.00      -24.00
00040             680.00      -28.00
00041             600.00      -24.00
00042             560.00      -24.00
00043             440.00      -24.00
00044             360.00      -28.00
00045             280.00      -28.00
00046             160.00      -24.00
00047              40.00      -24.00
00048             -80.00      -28.00
00049            -200.00      -28.00
00050            -360.00      -24.00
00051            -400.00      -28.00
00052            -480.00      -28.00
00053            -560.00      -20.00
00054            -680.00      -20.00
00055            -680.00      -28.00
00056            -720.00      -24.00
00057            -680.00      -24.00
00058            -720.00      -24.00
00059            -680.00      -20.00
00060            -680.00      -28.00
00061            -680.00      -32.00
00062            -720.00      -20.00
00063            -800.00      -16.00
00064            -840.00      -24.00
00065            -880.00      -20.00
00066            -920.00      -20.00
00067           -1000.00      -20.00
00068           -1080.00      -20.00
00069           -1120.00      -20.00
00070           -1200.00      -16.00
00071           -1200.00      -20.00
00072           -1200.00      -20.00
00073           -1160.00      -20.00
00074           -1080.00      -24.00
00075           -1040.00      -28.00
00076            -920.00      -20.00
00077            -800.00      -24.00
00078            -720.00      -16.00
00079            -560.00      -16.00
00080            -480.00      -20.00
00081            -400.00      -24.00
00082            -280.00      -20.00
00083            -240.00      -20.00
00084            -200.00      -24.00
00085            -160.00      -16.00
00086            -120.00      -20.00
00087            -120.00      -20.00
00088             -80.00      -20.00
00089            -120.00      -28.00
00090            -120.00      -24.00
00091            -160.00      -20.00
00092            -240.00      -20.00
00093            -280.00      -16.00
00094            -280.00      -24.00
00095            -360.00      -24.00
00096            -320.00      -20.00
00097            -320.00      -16.00
00098            -320.00      -24.00
00099            -280.00      -20.00
00100            -240.00      -16.00
00101            -200.00      -24.00
00102             -80.00      -20.00
00103               0.00      -12.00
00104              40.00      -20.00
00105             120.00      -28.00
00106             160.00      -24.00
00107             160.00      -20.00
00108             200.00      -20.00
00109             200.00      -24.00
00110             160.00      -16.00
00111             160.00      -20.00
00112             160.00      -20.00
00113             160.00      -24.00
00114             120.00      -16.00
00115             160.00      -16.00
00116             120.00      -20.00
00117             160.00      -20.00
00118             280.00      -16.00
00119             360.00      -16.00
00120             480.00      -20.00
