Unit:(mV)
                     CH1         CH2
Frequency              ?  999.988 Hz
Period                 ?    1.000 ms
00001             280.00       20.00
00002             340.00        0.00
00003             400.00        0.00
00004             380.00       20.00
00005             240.00        0.00
00006             340.00        0.00
00007             220.00        0.00
00008             400.00        0.00
00009             340.00      -20.00
00010             300.00     1820.00
00011             240.00     1940.00
00012              20.00     1960.00
00013             -60.00     1960.00
00014              20.00     1960.00
00015              80.00     1960.00
00016            -100.00     1960.00
00017              80.00     1980.00
00018             100.00     1960.00
00019             -40.00     1960.00
00020             -80.00     1960.00
00021             -80.00     1940.00
00022             -60.00     1960.00
00023               0.00      -20.00
00024             100.00        0.00
00025             -40.00      -40.00
00026             120.00      -20.00
00027            -120.00        0.00
00028             100.00      -20.00
00029              80.00      -20.00
00030             120.00      -20.00
00031              60.00        0.00
00032             160.00      -20.00
00033              40.00      -20.00
00034            -100.00      -20.00
00035              80.00      -20.00
00036             -80.00      -20.00
00037             160.00      -20.00
00038               0.00      -20.00
00039            -100.00      -20.00
00040            -100.00      -20.00
00041            -120.00      -20.00
00042             -80.00        0.00
00043              80.00      -40.00
00044              40.00        0.00
00045             -60.00      -20.00
00046              60.00        0.00
00047              80.00      -40.00
00048            -100.00      -20.00
00049            -120.00      -20.00
00050             -80.00        0.00
00051            -120.00      -20.00
00052            -100.00      -20.00
00053             100.00      -20.00
00054              60.00      -20.00
00055             -40.00      -20.00
00056              20.00      -20.00
00057              60.00        0.00
00058            -100.00        0.00
00059            -140.00      -20.00
00060            -140.00      -20.00
00061            -180.00      -20.00
00062             -20.00      -20.00
00063             140.00      -20.00
00064            -180.00      -20.00
00065             100.00      -20.00
00066            -160.00      -20.00
00067              20.00      -20.00
00068             140.00      -40.00
00069              60.00      -20.00
00070             100.00        0.00
00071             100.00      -20.00
00072              60.00        0.00
00073            -200.00      -20.00
00074              80.00      -20.00
00075            -180.00      -20.00
00076             100.00       20.00
00077             -60.00      -20.00
00078            -200.00      -20.00
00079            -220.00      -20.00
00080            -220.00        0.00
00081            -180.00        0.00
00082              40.00      -20.00
00083              20.00      -20.00
00084            -220.00      -20.00
00085              20.00      -40.00
00086             -80.00      -20.00
00087            -240.00      -20.00
00088            -180.00      -20.00
00089            -120.00      -20.00
00090            -160.00        0.00
00091            -240.00        0.00
00092            -120.00      -20.00
00093              40.00        0.00
00094            -260.00      -20.00
00095              40.00        0.00
00096             -60.00      -20.00
00097            -260.00        0.00
00098            -240.00        0.00
00099            -220.00      -20.00
00100            -240.00      -20.00
00101            -220.00      -20.00
00102             -20.00        0.00
00103            -120.00      -20.00
00104            -140.00        0.00
00105            -180.00      -20.00
00106              40.00        0.00
00107            -120.00      -40.00
00108            -200.00      -20.00
00109            -240.00      -20.00
00110            -120.00      -20.00
00111               0.00        0.00
00112            -140.00        0.00
00113            -220.00      -20.00
00114             -80.00      -20.00
00115            -140.00        0.00
00116            -300.00        0.00
00117            -200.00      -20.00
00118            -100.00      -20.00
00119            -100.00      -20.00
00120            -260.00      -20.00
00121            -360.00      -20.00
00122             -80.00        0.00
00123            -220.00      -20.00
00124            -100.00        0.00
00125            -320.00      -20.00
00126            -140.00        0.00
00127             -20.00      -20.00
00128             -40.00      -20.00
00129             -20.00        0.00
00130            -120.00        0.00
00131            -340.00      -40.00
00132            -200.00      -20.00
00133            -140.00      -20.00
00134            -240.00      -20.00
00135            -360.00      -20.00
00136            -160.00      -20.00
00137             -60.00      -20.00
00138             -60.00      -20.00
00139            -100.00      -20.00
00140            -220.00       20.00
00141            -360.00      -20.00
00142            -160.00        0.00
00143            -320.00      -20.00
00144            -120.00        0.00
00145            -400.00        0.00
00146            -360.00        0.00
00147            -280.00        0.00
00148            -240.00      -20.00
00149            -360.00      -20.00
00150            -380.00      -20.00
00151            -280.00        0.00
00152            -240.00      -20.00
00153            -320.00        0.00
00154            -360.00      -20.00
00155            -120.00        0.00
00156            -240.00        0.00
00157            -360.00      -20.00
00158            -340.00        0.00
00159            -240.00      -20.00
00160            -180.00      -20.00
00161            -420.00        0.00
00162            -300.00        0.00
00163            -380.00        0.00
00164            -220.00        0.00
00165            -400.00      -20.00
00166            -480.00      -20.00
00167            -480.00      -20.00
00168            -500.00      -20.00
00169            -440.00        0.00
00170            -300.00      -20.00
00171            -340.00      -20.00
00172            -520.00        0.00
00173            -320.00        0.00
00174            -300.00        0.00
00175            -500.00      -20.00
00176            -520.00        0.00
00177            -500.00        0.00
00178            -520.00      -20.00
00179            -500.00        0.00
00180            -340.00      -20.00
00181            -380.00        0.00
00182            -440.00      -20.00
00183            -440.00      -20.00
00184            -260.00      -20.00
00185            -420.00        0.00
00186            -520.00        0.00
00187            -560.00        0.00
00188            -500.00        0.00
00189            -380.00        0.00
00190            -300.00        0.00
00191            -620.00        0.00
00192            -320.00      -20.00
00193            -540.00      -20.00
00194            -540.00      -20.00
00195            -340.00      -20.00
00196            -320.00      -20.00
00197            -360.00        0.00
00198            -400.00        0.00
00199            -560.00      -20.00
00200            -560.00      -20.00
00201            -360.00        0.00
00202            -620.00        0.00
00203            -480.00      -20.00
00204            -420.00        0.00
00205            -540.00        0.00
00206            -640.00       20.00
00207            -620.00      -20.00
00208            -500.00        0.00
00209            -440.00      -20.00
00210            -640.00        0.00
00211            -440.00      -20.00
00212            -600.00      -20.00
00213            -380.00        0.00
00214            -560.00      -20.00
00215            -720.00        0.00
00216            -700.00      -20.00
00217            -660.00        0.00
00218            -560.00      -20.00
00219            -460.00        0.00
00220            -660.00        0.00
00221            -520.00      -20.00
00222            -720.00        0.00
00223            -460.00      -20.00
00224            -580.00        0.00
00225            -640.00        0.00
00226            -700.00      -20.00
00227            -620.00        0.00
00228            -540.00        0.00
00229            -580.00       20.00
00230            -760.00      -20.00
00231            -520.00      -20.00
00232            -720.00        0.00
00233            -720.00      -20.00
00234            -580.00        0.00
00235            -460.00      -20.00
00236            -480.00      -20.00
00237            -580.00      -20.00
00238            -760.00        0.00
00239            -800.00        0.00
00240            -540.00        0.00
00241            -820.00        0.00
00242            -580.00        0.00
00243            -560.00        0.00
00244            -740.00      -20.00
00245            -820.00        0.00
00246            -780.00      -20.00
00247            -700.00        0.00
00248            -520.00        0.00
00249            -740.00        0.00
00250            -720.00      -20.00
00251            -760.00        0.00
00252            -640.00        0.00
00253            -880.00        0.00
00254            -880.00        0.00
00255            -860.00      -20.00
00256            -920.00        0.00
00257            -880.00        0.00
00258            -640.00      -20.00
00259            -760.00      -20.00
00260            -880.00        0.00
00261            -740.00        0.00
00262            -680.00        0.00
00263            -880.00        0.00
00264            -940.00        0.00
00265            -960.00        0.00
00266            -940.00        0.00
00267            -840.00      -20.00
00268            -660.00      -20.00
00269            -880.00        0.00
00270            -740.00      -20.00
00271            -960.00      -20.00
00272            -700.00        0.00
00273            -740.00        0.00
00274            -840.00        0.00
00275            -800.00        0.00
00276            -720.00        0.00
00277            -740.00        0.00
00278            -940.00        0.00
00279            -860.00        0.00
00280            -900.00      -20.00
00281            -720.00        0.00
