#Parameters = {g_w=0.1; m_th=0.01; lin_w=0.57; er=2.33; lamb=20; subs_th=0.2; subs_l=10; subs_w=10; Patch_length=6.3548709179955; Patch_width=5.7348835113618; x_shift=0.5; y_shift=0}
#"Frequency / GHz"	"Z1,1 [Re]"	"Z1,1 [Im]"
#-----------------------------------------
13.000000000000	21.669389471081	-396.39586691708
13.003999710083	21.775886418358	-395.25137662678
13.008000373840	21.777179969380	-394.13379227389
13.012000083923	21.674149352824	-393.03140530521
13.015999794006	21.468568025286	-391.93298112587
13.020000457764	21.164028846357	-390.82726612628
13.024000167847	20.764631193739	-389.70366561802
13.027999877930	20.275940755931	-388.55190519402
13.031999588013	19.704602974824	-387.36260113406
13.036000251770	19.057982362938	-386.12713407322
13.039999961853	18.344801492802	-384.83791264863
13.043999671936	17.574105303673	-383.48830161311
13.048000335693	16.755611332868	-382.07292326565
13.052000045776	15.899870531854	-380.58777141622
13.055999755859	15.017222661907	-379.02982763454
13.060000419617	14.118427390052	-377.39767137324
13.064000129700	13.214184795793	-375.69108924010
13.067999839783	12.314729322402	-373.91106652233
13.071999549866	11.430193399829	-372.05989373900
13.076000213623	10.569924334691	-370.14104979111
13.079999923706	9.7426918615163	-368.15878121862
13.083999633789	8.9565071831473	-366.11855069591
13.088000297546	8.2183531499311	-364.02639446402
13.092000007629	7.5345565815416	-361.88914017196
13.095999717712	6.9102527399325	-359.71388886176
13.100000381470	6.3495401951572	-357.50823891725
13.104000091553	5.8554092658241	-355.28005533290
13.107999801636	5.4302748492095	-353.03714247489
13.112000465393	5.0750749210174	-350.78737108756
13.116000175476	4.7901957319394	-348.53833708301
13.119999885559	4.5751346773730	-346.29752422974
13.123999595642	4.4283713326263	-344.07210610833
13.128000259399	4.3480426601941	-341.86872754920
13.131999969482	4.3313165212226	-339.69368879575
13.135999679565	4.3749167127533	-337.55279129335
13.140000343323	4.4752989395815	-335.45133599954
13.144000053406	4.6280317240422	-333.39390187210
13.147999763489	4.8288177254437	-331.38477584820
13.152000427246	5.0729152009649	-329.42750396629
13.156000137329	5.3552163760377	-327.52511114230
13.159999847412	5.6708452609074	-325.68008275128
13.163999557495	6.0143004891313	-323.89431485711
13.168000221252	6.3804998120532	-322.16926109099
13.171999931335	6.7641426023416	-320.50576312531
13.175999641418	7.1599349673316	-318.90420656296
13.180000305176	7.5628394761278	-317.36441835763
13.184000015259	7.9677481781480	-315.88577705177
13.187999725342	8.3697255493754	-314.46742332800
13.192000389099	8.7641131028614	-313.10780385978
13.196000099182	9.1462946864317	-311.80499241050
13.199999809265	9.5120414852035	-310.55683187953
13.204000473022	9.8574464815888	-309.36069356413
13.208000183105	10.178565713604	-308.21358492397
13.211999893188	10.472107031083	-307.11235167215
13.215999603271	10.734952639975	-306.05332793727
13.220000267029	10.964456858143	-305.03278511103
13.223999977112	11.158166721214	-304.04672412249
13.227999687195	11.314272512448	-303.09094475179
13.232000350952	11.431243961220	-302.16106445513
13.236000061035	11.508005980702	-301.25264440649
13.239999771118	11.543995806355	-300.36118338449
13.244000434875	11.539059207826	-299.48215505736
13.248000144958	11.493362098682	-298.61107256683
13.251999855042	11.407921870521	-297.74375248880
13.255999565125	11.283751762565	-296.87492583761
13.260000228882	11.122638887452	-296.00159484965
